SK_ID_CURR,TARGET
100001,0.09721334482398757
100005,0.16599701252872628
100013,0.04472581509435845
100028,0.04527013525468278
100038,0.134705952256804
100042,0.04033616555056303
100057,0.050140414152747906
100065,0.08481010434761341
100066,0.03024182520638708
100067,0.09943684600160993
100074,0.06464882421596597
100090,0.08325728419387986
100091,0.09905340753518416
100092,0.09068188446073147
100106,0.07427678772133968
100107,0.11366612159693078
100109,0.08701855767363285
100117,0.05159726922893225
100128,0.08191047778313444
100141,0.07384859401107202
100150,0.04955457714461353
100168,0.023345986774001293
100169,0.07957470876158632
100170,0.062445329123661596
100171,0.06362649948053775
100172,0.08968673549222288
100184,0.06072163266164607
100187,0.07616881290028774
100212,0.06655426913373673
100222,0.09411471315475045
100223,0.03944924542663915
100232,0.03253092906639494
100241,0.17276060258559117
100245,0.04321162026544753
100253,0.035561019422883894
100256,0.09332799096147525
100271,0.025638289183689537
100278,0.18798582144755938
100280,0.04739527783281048
100306,0.16166982543344177
100311,0.17798707382912457
100312,0.06093139864544491
100330,0.1037083587418409
100331,0.07775960448999211
100352,0.10632640965767297
100358,0.08314701379600307
100367,0.06113327024821191
100382,0.14336129799543829
100384,0.08125763726326425
100385,0.1222200288369041
100386,0.04860190570197658
100399,0.037966710418512184
100404,0.08230365925383179
100416,0.03546424546555719
100422,0.10707831462745027
100426,0.051002531943006635
100438,0.06210061358710512
100444,0.14577723319645688
100445,0.114233950088085
100446,0.1342065575851863
100447,0.03089380159385672
100450,0.04957165596547577
100466,0.043484302851408405
100483,0.042216964654076344
100484,0.0360058975208274
100494,0.07424554012867322
100510,0.14337629139803104
100512,0.02834307961352066
100517,0.04859252932373536
100548,0.03497876454977988
100551,0.05098111822898477
100552,0.0909971926589986
100553,0.05029855832028498
100561,0.1563031334732155
100568,0.2842420622260214
100569,0.04766254080152652
100591,0.07037325504068873
100592,0.03867557921277845
100602,0.09025280473645457
100607,0.06947893700454756
100613,0.08940175290884225
100617,0.12318199185583979
100618,0.10519016158375998
100622,0.1394771481979898
100625,0.09281854739146278
100677,0.12321383970114326
100699,0.06497417146603608
